frame,trans_error,rot_error_deg
373,0.956734,0.96111
374,0.93624,0.894771
375,1.04571,0.881642
376,0.981665,0.725334
377,1.12651,0.472211
378,0.91304,0.522835
379,1.29247,0.993692
380,0.209641,0.0976726
381,1.18824,1.11918
382,0.970594,0.484616
383,1.23178,1.7949
384,0.707033,0.101909
385,0.433113,0.526052
386,0.269121,0.48839
387,0.107543,0.129349
388,0.912987,1.04436
389,0.343548,0.521986
390,0.544565,0.228138
391,0.956287,1.36264
392,0.921114,1.25708
393,0.612725,0.447414
394,0.694964,1.0905
395,0.0337909,0.140628
396,0.841108,1.25083
397,0.10639,0.130289
398,0.17237,0.269621
399,1.10434,1.04908
400,0.924974,1.33059
401,1.22849,1.47422
402,0.205268,0.461185
403,0.121029,0.288305
404,0.267743,0.260794
405,0.705274,0.969738
406,0.592805,1.07254
407,0.162206,0.372868
408,0.232501,0.397511
409,0.0224447,0.125591
410,0.231382,0.401856
411,0.950606,3.14864
412,0.212151,0.559806
413,0.105123,0.817216
414,0.238886,1.03464
415,1.15509,5.54482
416,0.0736169,0.358651
417,0.0586713,0.266758
418,0.0631489,0.163549
419,0.0627443,0.175561
420,0.310883,0.546092
421,0.178932,0.612706
422,0.238276,0.834697
423,0.197424,0.275728
424,0.19473,0.383631
425,0.282011,0.434717
426,0.634294,0.677608
427,0.390852,0.364582
428,0.34771,1.05796
429,0.395664,0.457188
430,0.125236,0.209221
431,0.663603,1.85469
432,1.62686,0.957709
433,0,2.81095
434,0.0841776,1.37285
435,0.254303,0.752414
436,0,3.78251
437,1.96475,4.64586
438,0,5.17497
439,0.122025,2.96301
440,0.830999,1.7359
441,0.187337,1.3449
442,0.35266,1.61575
443,0.336279,0.766113
444,1.81617,2.33058
445,0.303998,0.124206
446,0,2.15501
447,0.450447,1.0462
448,0.42261,1.30788
449,1.962,1.39626
450,0,1.49692
451,1.75058,3.03915
452,1.97379,1.40245
453,1.84991,1.20883
454,1.02123,1.81373
455,0.887055,0.582521
456,1.44038,0.985214
457,0,0.929142
458,1.38604,0.921436
459,1.44512,1.02124
460,0,0.90275
461,1.20308,0.387286
462,0.387141,0.507185
463,1.06626,1.20616
464,1.01867,1.42067
465,0,0.930715
466,0.323546,1.31497
467,0.220812,0.12541
468,1.12967,0.666097
469,1.233,1.81462
470,1.2381,1.86129
471,0.830255,1.30599
472,0.82516,0.344841
473,0,0.114333
474,0.0267395,0.138156
475,0,0.144879
476,1.14874,2.17714
477,0.115304,0.166432
478,0.567033,0.51034
479,1.03472,3.13086
480,0.0819431,1.46255
481,0.186758,1.67453
482,0.0392057,0.561489
483,0.951143,1.8664
484,0.73755,1.22556
485,0.933754,1.89993
486,0.204397,0.343081
487,0.89332,1.90576
488,0.624349,1.51357
489,0.0390113,0.468828
490,0.217957,0.283373
491,1.00236,1.21659
492,0.170953,0.0905939
493,0.151265,0.446688
494,0.898362,1.4961
495,0.985093,1.39994
496,0.154092,0.130817
497,0.823033,1.5835
498,0.137488,0.123459
499,0.136115,0.446131
500,0.150064,0.239124
501,0.194289,0.324184
