frame,trans_error,rot_error_deg
577,0,1.96882
578,1.29942,54.2824
579,0.636337,0.8078
580,0.898422,1.20047
581,1.47445,1.35757
582,0.54804,0.297276
583,1.08098,32.5965
584,1.31467,1.00956
585,1.04208,64.3507
586,1.32946,24.3579
587,0,1.12108
588,0.115837,0.0438743
589,0.68164,1.10435
590,1.26219,10.6856
591,1.39939,2.2276
592,0.101982,0.525469
593,0.190525,176.778
594,1.26586,4.92705
595,0.365309,231.913
596,0.373855,196.901
597,0,1.68849
598,0.748669,3.78727
599,0.45955,0.484069
600,1.10442,13.6998
601,1.02455,2.66224
602,0.363037,0.967662
603,1.20518,17.6059
604,0.70487,2.47412
605,0.828639,2.52198
606,0,9.93786
607,1.28253,16.1659
608,0.535829,156.921
609,1.3651,14.6831
610,1.3895,6.14642
611,0,1.79737
612,0.801095,0.466402
613,0.609338,0.944347
614,0.986755,1.22787
615,1.50713,2.10478
616,1.16971,42.511
617,0.092171,199.999
618,1.36804,2.24783
619,1.22845,2.29316
620,0.105942,0.160999
621,1.3762,6.39859
622,1.08703,88.4418
623,0.416714,0.396049
624,0.526595,1.7055
625,1.23256,21.4867
626,0.788773,1.89944
627,0.894707,5.9276
628,0.844321,0.950209
629,0.173742,0.221383
630,0.667767,95.309
631,0,4.79705
632,1.44193,6.61598
633,0.566874,1.10605
634,0.873514,62.2209
635,1.36872,6.22558
636,1.32597,8.94851
637,0.509892,135.927
638,0.905855,1.35099
639,0.161509,0.156473
640,0.387825,181.876
641,0.76323,216.931
642,0.350737,0.371871
643,1.09193,68.7269
644,0.148145,1.83422
645,1.23262,35.5155
646,0.951418,2.34018
647,1.20764,1.96672
648,0,1.22083
649,1.1055,4.57826
650,0,14.336
651,0.569234,207.137
652,1.23743,2.91014
653,0.946585,0.778699
654,1.16442,3.82082
655,1.04146,200.453
656,1.26928,5.254
657,1.61454,6.71983
658,0.903937,0.977654
659,0.27604,0.305034
660,1.28876,22.4603
661,0.175927,0.616346
662,1.22394,16.6548
663,0.178801,0.215853
664,1.19476,1.20852
665,0.391843,0.206722
666,0,1.73773
667,0.0338062,0.12927
668,1.12914,1.43071
669,0.44738,2.07601
670,1.22363,1.19504
671,1.22379,8.5189
672,0.115627,0.403974
673,0.35936,0.789434
674,0,126.332
675,0.0362261,0.221123
676,1.32379,3.0059
677,1.03011,3.64111
678,0.777612,1.83904
679,1.03663,7.42241
680,0.786503,1.45269
681,0.327663,0.517338
682,0.82773,5.84683
683,0.281667,1.80567
684,1.40238,6.70937
685,1.55176,5.55417
686,0.926459,19.4551
687,0.161526,0.278551
688,1.04505,4.43542
689,1.14797,4.01642
690,0.744458,100.576
691,0.787648,95.8425
692,0.132713,0.255383
693,0.077094,0.373481
694,0,14.5342
695,0.160116,0.364167
696,0.976686,81.7118
697,1.03871,2.65743
698,1.26717,14.6779
699,0.470246,0.883247
700,1.22194,16.4881
701,0.313275,0.531631
702,0,0.0534618
703,1.02833,4.82154
704,0.911961,21.5752
705,1.4811,10.6473
706,0.757253,2.457
707,0.845161,1.50846
708,0.0515946,0.47372
709,0.8402,4.66314
710,1.53517,8.0725
711,0.020957,0.0292463
712,1.39446,44.8124
713,0.881361,23.5345
714,1.34014,6.46983
715,0.486025,1.04568
716,0.609591,1.20578
717,1.39782,11.0164
718,1.41759,9.59483
719,1.07061,2.63331
720,1.292,11.723
721,0.996705,10.0855
722,0.0367433,0.108799
723,0.623074,1.58775
724,1.3053,4.45954
725,1.27364,10.9038
726,0,4.78605
727,1.24296,8.40478
728,0.545966,1.0998
729,1.47312,2.81167
730,1.09955,15.5823
731,0.786833,2.07211
732,1.44849,12.7337
733,0.833317,1.85526
734,1.04642,27.5599
735,1.36543,4.72047
736,1.19018,5.81456
737,0.395486,2.5414
738,0.344964,0.819865
739,1.15549,7.49139
740,0,177.871
741,1.42903,9.33847
742,1.24985,67.1101
743,1.26237,23.1284
744,1.42183,49.6095
745,0.688318,1.56406
746,0.871471,2.13011
747,1.69044,7.83803
748,1.34706,82.2637
749,0.48114,48.0327
750,0.810218,183.875
751,1.34933,1.74667
752,1.01705,21.7893
753,1.60608,1.65959
754,1.41433,3.25087
755,0.0291984,2.04109
756,1.57741,36.0879
757,1.52884,9.27134
758,0.692226,3.66663
759,1.29766,121.111
760,1.60602,13.8644
761,0.700732,3.31969
762,1.85985,24.5335
763,0.93573,1.28801
764,1.44873,107.372
765,0.423503,4.14834
766,1.97248,15.0309
767,1.35173,103.242
768,0.715372,15.4185
769,0.863967,11.9401
770,1.5465,4.42011
771,1.00867,43.865
772,1.57149,82.8878
773,1.08731,9.05287
774,0.305579,0.224064
775,1.98722,4.12299
776,1.57398,10.9684
777,0.860708,4.81749
778,1.65187,8.10097
779,1.90059,2.46866
780,1.74503,129.838
781,1.93271,6.92443
782,0.768709,5.26981
783,0.516005,0.880056
784,1.37343,8.74111
785,1.05014,2.19366
786,1.44061,17.1724
787,0.405476,0.266136
788,1.71896,75.5945
789,1.95747,131.709
790,1.06357,0.114831
791,1.58356,25.6612
792,1.94428,85.6674
793,0.936025,1.3175
794,1.62697,36.232
795,0,1.53957
796,1.74935,7.51404
797,1.16947,0.22501
798,1.23029,8.09174
799,0.846343,0.523188
800,1.4025,48.2569
801,1.70402,89.6515
802,1.45856,1.38882
803,1.86547,13.1036
804,1.75887,0.179658
805,1.66574,239.913
806,1.53709,0.888509
807,0.643191,3.15893
808,1.54016,2.05618
809,1.39654,16.8832
810,1.82535,170.475
811,0.748394,0.390005
812,1.91306,2.69788
813,1.96724,0.253685
814,1.54851,207.14
815,1.09777,5.59318
816,1.93105,6.4901
817,1.96902,7.47182
818,1.57874,184.766
819,0.734095,0.79514
820,1.79848,3.25458
821,1.36076,1.2216
822,1.55314,0.737598
823,1.15266,0.635014
824,0.786328,3.16814
825,0.478668,0.615324
826,0.907964,6.55979
827,1.26266,34.2806
828,0,5.26573
829,1.05768,1.99912
830,0.257766,25.4691
831,1.00804,5.68056
832,1.38561,102.859
833,1.85878,1.83573
834,1.745,1.18384
835,0,0.560977
836,0.0780109,2.20137
837,0,109.747
838,1.48203,6.08439
839,1.9269,4.62243
840,0.657865,3.24235
841,1.27305,2.86187
842,0.208224,1.15609
843,1.06881,18.7087
844,1.11815,3.382
845,0.352164,0.146983
846,1.28964,88.637
847,0.951179,5.81616
848,1.30399,9.46708
849,0.28403,0.749714
850,0,17.8384
851,0.369053,1.27707
852,0.290605,4.82085
853,0.412144,2.09032
854,0,19.2416
855,0.299477,1.30229
856,1.20932,127.589
857,1.7066,31.2254
858,0.484269,2.68863
859,1.4352,100.944
860,0.474521,1.65917
861,1.98555,2.83059
862,0.925078,82.3609
863,1.80393,10.0058
864,0.984191,3.95579
865,1.42832,107.563
866,0.416243,48.9997
867,0,2.79768
868,1.60199,5.445
869,0.296217,0.540504
870,0.64547,31.6287
871,1.44039,53.3107
872,0.727259,2.22912
873,0.880541,8.47988
874,0,2.07824
875,0.950031,1.32905
876,0.723731,196.171
877,1.52516,50.6309
878,0.794256,39.7383
879,1.30287,5.19487
880,1.00456,7.41542
881,0.959885,6.5925
882,0.945973,1.23907
883,0.369626,88.002
884,1.19196,52.4313
885,0.681905,214.008
886,0.076421,0.530895
887,1.30134,11.2361
888,1.17275,6.03534
889,0.627892,2.80313
890,0.215415,140.194
891,1.2279,31.1386
892,0.468055,73.2476
893,1.28593,9.28521
894,0.84797,64.8974
895,0.553263,0.615306
896,0.285711,93.0528
897,0.72867,44.1027
898,0.685675,201.743
899,0.81824,1.78285
900,0.308586,0.326501
901,0.367574,130.602
902,0.129921,0.088973
903,0.2477,0.59087
904,1.225,1.61942
905,0.159174,217.814
906,0.08133,0.147072
907,1.26938,1.87744
908,0,21.1497
909,1.16487,10.4374
910,0.390159,0.726381
911,0.0676959,0.138315
912,0.548505,159.989
913,1.16091,1.72869
914,0.799113,128.078
915,0,1.86946
916,1.30707,8.60048
917,0.321339,0.280429
918,0.605417,1.706
919,1.04032,7.42949
920,1.11738,1.89388
921,0.511763,6.98961
922,1.94524,2.73767
923,1.0946,13.7939
924,0.20587,0.575672
925,1.94465,8.77072
926,0.758192,1.40923
927,1.57961,2.67042
928,0.0993521,0.848635
929,1.57351,230.831
930,0.0422336,1.18902
931,0,2.40491
932,0.40565,0.431212
933,1.24467,0.589126
934,1.97533,34.4952
935,0.343374,0.638754
936,0,11.1868
937,1.02007,2.47958
938,1.39963,21.3644
939,0.595173,1.66429
940,1.19714,47.031
941,1.13712,2.37158
942,1.51122,225.052
943,1.165,1.711
944,0.712409,0.589752
945,0.621538,42.8476
946,0.207059,11.0575
947,0.329553,1.96218
948,0.949399,1.90893
949,1.86885,160.817
950,0.0319954,0.106778
951,1.65612,74.8505
952,1.83938,27.1302
953,1.77131,8.39553
954,0.908893,0.721607
955,0,2.25888
956,1.63032,210.259
957,0.800058,0.486708
958,0.161026,0.447039
959,0.149789,1.71481
960,1.56638,107.366
961,1.20307,10.8547
962,0.391321,4.19914
963,1.10183,5.65348
964,0.975756,15.988
965,1.73233,1.62749
966,1.81036,192.565
967,0.488707,2.26224
968,1.93573,2.65396
969,1.37381,69.371
970,0.676715,25.0914
971,0,10.2826
972,0.0952959,0.731415
973,1.33428,193.833
974,1.1786,13.0399
975,1.79213,3.48448
976,1.40241,0.913978
977,0.272946,17.5313
978,0.0909149,1.01249
979,1.3374,3.58966
980,1.78545,2.70907
981,1.78411,12.1702
982,1.62636,1.11
983,0.684364,3.93278
984,1.60995,73.7947
985,0.995476,206.831
